t,u,rf
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
3.337350000000000039e-02,1.668679999999999941e+00,1.374530000000000030e+02
6.667349999999999666e-02,3.333680000000000199e+00,1.878959999999999866e+02
1.000240000000000018e-01,5.001179999999999737e+00,2.364720000000000084e+02
1.333739999999999926e-01,6.668680000000000163e+00,2.833319999999999936e+02
1.666739999999999888e-01,8.333679999999999310e+00,3.285830000000000268e+02
2.000240000000000073e-01,1.000120000000000076e+01,3.725070000000000050e+02
2.333739999999999981e-01,1.166869999999999941e+01,4.151499999999999773e+02
2.666740000000000221e-01,1.333370000000000033e+01,4.565439999999999827e+02
3.000240000000000129e-01,1.500120000000000076e+01,4.968960000000000150e+02
3.333740000000000037e-01,1.666870000000000118e+01,5.362119999999999891e+02
3.666739999999999999e-01,1.833370000000000033e+01,5.744909999999999854e+02
4.000239999999999907e-01,2.000120000000000076e+01,6.118930000000000291e+02
4.333739999999999815e-01,2.166870000000000118e+01,6.483920000000000528e+02
4.666739999999999777e-01,2.333370000000000033e+01,6.839629999999999654e+02
5.000240000000000240e-01,2.500120000000000076e+01,7.187290000000000418e+02
5.333740000000000148e-01,2.666870000000000118e+01,7.526390000000000100e+02
5.666740000000000110e-01,2.833370000000000033e+01,7.856280000000000427e+02
6.000240000000000018e-01,3.000120000000000076e+01,8.177309999999999945e+02
6.333739999999999926e-01,3.166870000000000118e+01,8.487469999999999573e+02
6.666739999999999888e-01,3.333370000000000033e+01,8.783460000000000036e+02
7.000239999999999796e-01,3.500119999999999720e+01,9.061649999999999636e+02
7.333739999999999704e-01,3.666870000000000118e+01,9.315960000000000036e+02
7.666739999999999666e-01,3.833370000000000033e+01,9.540240000000000009e+02
8.000239999999999574e-01,4.000119999999999720e+01,9.732649999999999864e+02
8.333739999999999482e-01,4.166870000000000118e+01,9.894379999999999882e+02
8.666740000000000554e-01,4.333370000000000033e+01,1.002960000000000036e+03
9.000230000000000175e-01,4.500119999999999720e+01,1.014379999999999995e+03
9.333740000000000370e-01,4.666870000000000118e+01,1.024099999999999909e+03
9.666740000000000332e-01,4.833370000000000033e+01,1.032470000000000027e+03
1.000000000000000000e+00,5.000000000000000000e+01,1.039740000000000009e+03
